id,saleprice
2658,9964822.039629418
2718,20222541.5156197
2414,10468723.469231304
1989,10827896.620190592
625,16400329.619536757
333,7132744.662419021
1327,10581319.684760537
858,13298278.069849588
95,10629352.185723107
1568,16792949.786801934
2482,13701578.78631016
1364,10270500.71580188
2584,13796039.703128511
818,19354286.30543917
2673,9575523.16680902
2089,12789449.825460196
1297,14480260.56510062
790,11496286.384725245
2616,21868313.98823482
720,10715787.57525845
222,13211342.103661539
557,13996021.510025963
1148,16814895.219960663
2766,14530621.380068665
534,13452255.098995682
1452,10422472.62758776
630,12746138.776824694
2648,9984151.884557454
125,14783662.002604237
1904,3846930.5523807216
1670,12507514.73385157
756,10792995.391371632
717,17345603.214653112
1032,17168149.553955767
852,15882458.962615812
1731,8417987.642846365
2639,10801522.754598852
2071,10951050.810810488
1267,11149304.763226392
1851,15975323.766593063
567,8405513.666392345
2439,10803227.320811575
1898,15938971.625980541
647,16726490.688529212
2256,19825229.125557426
979,6076291.362645677
1444,12935475.778728867
2485,14201891.278024413
157,10241375.842726
88,12901722.318665318
2003,9147961.466241768
186,13296959.621628
1425,19582756.790912084
2695,8215274.618286861
738,9240943.899582153
395,13551769.14419293
1353,11422699.153589875
1878,17219896.356778074
390,15116714.579913456
1456,15928646.885966735
1103,28532744.638894223
1387,15842246.285177156
2070,11835140.474558217
1199,11642557.742761007
2479,10845951.821748814
501,23632411.420027148
2362,8587146.427302863
1718,18569290.19356906
2188,7686422.562414205
1483,12720417.991032345
2557,9435156.148565011
437,21298985.537379794
2224,17941838.305002954
1628,9944575.41150706
397,12102305.31334169
587,18421330.696903408
971,15952448.660775121
2611,13458932.419208443
1887,8882856.58700784
2399,24939379.526894253
2148,16147431.022345219
304,10977117.818466704
1997,8650957.175492011
2817,11011127.04903317
1431,12887161.203828678
427,25572061.58187216
263,11738420.2447174
598,16893213.79361497
2895,20345983.45038834
687,13750861.05917417
1822,11480143.403831374
2191,9834511.318277322
179,8010283.375224771
1009,16367122.278020926
2010,8133524.603364695
1991,10212834.814208876
1411,17789360.04205333
1721,17447690.94321335
1144,12267682.985818079
593,12050271.339885945
575,24910486.172495287
1249,17658970.179093763
1604,13352384.269614471
1064,33096851.517035503
1923,14524875.458230097
1988,8138942.540398693
2325,11148852.28053654
114,16925824.286482107
2700,18845247.228083715
217,16369258.633411657
343,18033341.71001103
386,12244923.23386912
2005,13353884.723163059
2908,8963903.005630696
1814,22413760.28759988
2446,26533196.91650625
208,14744783.183076335
1679,7866605.500991286
822,24135794.34286508
6,14596972.049419437
1781,28564590.702797078
2397,14966001.410937585
2340,21739350.41729651
1618,9407342.237379877
2843,10286976.351766601
1061,23207709.841955002
2786,9871225.064146016
1935,11553920.25673646
1341,7007983.563714584
521,20036333.282008152
2136,12912733.557430888
996,13878155.797340484
227,10930760.762981873
135,15569943.930362014
1167,10673190.642588627
294,12987762.67515296
1776,14852641.449037824
540,14157872.206825852
1717,18028077.285295073
2303,12162620.9874128
116,18712363.977926336
127,12436210.218404276
1371,7608029.684055421
1014,14805779.10291243
1507,7088533.520589373
702,10034579.281918759
750,12039093.149063896
261,8620400.549649844
1559,4790048.666869217
577,19022765.14007388
